StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Warning,consent,age,sex,own_formidability,own_imagination,timer_instr_First Click,timer_instr_Last Click,timer_instr_Page Submit,timer_instr_Click Count,instr,Q18_First Click,Q18_Last Click,Q18_Page Submit,Q18_Click Count,check1,time_First Click,time_Last Click,time_Page Submit,time_Click Count,non_g_check,time_First Click,time_Last Click,time_Page Submit,time_Click Count,gruesome_check,BP_AQ_1,BP_AQ_2,BP_AQ_3,BP_AQ_4,BP_AQ_5,BP_AQ_6,BP_AQ_7,BP_AQ_8,BP_AQ_9,height_1,height_11,motivated,win_next_fight,poison,visual_size_1,visual_size_2,visual_size_3,visual_size_4,visual_size_5,visual_size_6,visual_strength_1,visual_strength_2,visual_strength_3,visual_strength_4,visual_strength_5,visual_strength_6,comments,mTurkCode
2019-07-12 14:43:18,2019-07-12 14:46:21,0,174.134.172.41,100,182,1,2019-07-12 14:46:21,R_1NqCaXidjupYQjN,,,,,35.32879638671875,-118.97480010986328125,anonymous,EN,4,1,38,1,7,10,3.61,3.61,6.71,1,1,0,0,52.824,0,1,,,,,,0,0,13.896,0,2,5,5,5,5,5,5,5,5,4,5,9,6,7,7,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,,8407522
2019-07-12 14:43:38,2019-07-12 14:46:25,0,70.161.89.59,100,166,1,2019-07-12 14:46:25,R_3iLlwanwKz4FlkJ,,,,,36.7646026611328125,-76.34079742431640625,anonymous,EN,4,1,29,2,3,10,2.956,5.619,9.051,2,1,19.694,19.694,23.755,1,1,0,0,17.071,0,1,,,,,,2,2,3,2,2,4,4,4,3,6,1,8,8,1,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,,4217425
2019-07-12 14:43:54,2019-07-12 14:46:26,0,50.46.135.248,100,152,1,2019-07-12 14:46:27,R_22VNlo35t4e0lJD,,,,,47.86199951171875,-122.253204345703125,anonymous,EN,4,1,35,1,9,9,9.156,9.156,11.696,1,1,0.92,0.92,33.077,1,1,1.62,2.597,17.228,2,1,,,,,,3,2,2,2,3,4,3,3,2,5,7,5,5,1,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,,4563604
2019-07-12 14:43:15,2019-07-12 14:46:29,0,71.246.201.70,100,193,1,2019-07-12 14:46:29,R_31hGfNcUc5bztSX,,,,,38.9488983154296875,-76.93520355224609375,anonymous,EN,4,1,26,2,4,8,19.403,19.403,20.609,1,1,0,0,27.183,0,1,0,0,22.801,0,1,,,,,,4,3,2,2,2,4,3,2,2,5,9,4,7,2,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,,3639433
2019-07-12 14:43:05,2019-07-12 14:46:37,0,107.128.117.18,100,211,1,2019-07-12 14:46:37,R_2wT7lw4ddbjyNTJ,,,,,29.7241973876953125,-95.31780242919921875,anonymous,EN,4,1,23,2,4,7,6.357,7.005,8.483,2,1,0,0,36.002,0,1,,,,,,26.71,26.71,27.545,1,2,5,3,4,4,5,4,5,4,3,5,6,8,7,8,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,,9225550
2019-07-12 14:43:13,2019-07-12 14:46:40,0,69.130.150.219,100,206,1,2019-07-12 14:46:40,R_zeB9si9lIX4Is81,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,4,1,35,1,8,7,1.892,1.892,10.078,1,1,2.39,10.39,19.096,2,1,,,,,,2.517,10.977,24.714,2,2,4,2,2,1,2,2,4,2,2,5,10,7,7,8,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,,931429
2019-07-12 14:44:22,2019-07-12 14:46:42,0,98.192.36.159,100,140,1,2019-07-12 14:46:43,R_C7ZUedD2tXOhnPP,,,,,33.8574066162109375,-84.01300048828125,anonymous,EN,4,1,41,2,1,2,3.257,3.257,6.306,1,1,15.929,18.431,19.55,2,1,2.578,2.578,12.132,1,1,,,,,,2,2,2,2,2,2,2,2,2,5,6,7,7,2,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,,3116343
2019-07-12 14:43:54,2019-07-12 14:46:47,0,173.29.30.79,100,173,1,2019-07-12 14:46:47,R_XtEtqY53bSLX3jz,,,,,42.514404296875,-90.69300079345703125,anonymous,EN,4,1,22,1,6,7,8.437,8.437,10.01,1,1,0,0,22.84,0,1,,,,,,0,0,17.933,0,2,5,3,4,4,5,5,5,4,2,6,2,9,9,9,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,,3425427
2019-07-12 14:44:48,2019-07-12 14:46:52,0,199.47.64.32,100,124,1,2019-07-12 14:46:52,R_3j2NRwbJMkH1j1C,,,,,40.130096435546875,-102.7071990966796875,anonymous,EN,4,1,29,1,5,6,2.055,2.055,6.361,1,1,0,0,16.842,0,1,,,,,,0,0,16.934,0,2,2,4,4,3,3,2,3,3,2,5,10,7,4,4,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,,3195324
2019-07-12 14:43:08,2019-07-12 14:46:57,0,70.175.101.75,100,228,1,2019-07-12 14:46:57,R_1F2FVhn2gPoTOMB,,,,,33.4792938232421875,-112.312103271484375,anonymous,EN,4,1,32,2,8,10,20.76,20.76,21.812,1,1,0,0,37.953,0,1,,,,,,0,0,31.353,0,2,5,5,4,4,4,4,4,4,2,6,5,7,3,3,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,,7453997
2019-07-12 14:44:39,2019-07-12 14:47:00,0,71.192.157.189,100,140,1,2019-07-12 14:47:00,R_5cZIdNjoI2b5eoh,,,,,42.64959716796875,-71.92669677734375,anonymous,EN,4,1,31,1,6,8,1.358,1.358,6.494,1,1,0,0,27.114,0,1,,,,,,0,0,20.782,0,2,5,4,5,5,4,1,5,4,5,6,0,10,9,8,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,,5733327
2019-07-12 14:43:48,2019-07-12 14:47:01,0,66.228.20.227,100,193,1,2019-07-12 14:47:02,R_3LZjjUFv1jHh3sl,,,,,45.5995025634765625,-121.19049835205078125,anonymous,EN,4,1,21,2,3,8,6.073,6.073,7.223,1,1,0,0,56.8,0,1,0,0,12.801,0,1,,,,,,4,2,2,2,3,4,4,3,2,5,9,5,5,6,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,,4397651
2019-07-12 14:43:14,2019-07-12 14:47:03,0,47.27.112.139,100,228,1,2019-07-12 14:47:03,R_1DpRQo91VglDQsG,,,,,35.6497955322265625,-81.24250030517578125,anonymous,EN,4,1,31,1,7,6,11.702,11.702,12.746,1,1,19.338,22.088,37.652,3,1,,,,,,8.121,10.707,25.863,5,2,4,4,4,5,5,3,4,4,4,5,10,8,4,6,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,,3568246
2019-07-12 14:44:11,2019-07-12 14:47:05,0,216.106.39.5,100,174,1,2019-07-12 14:47:05,R_2zqHpCNbnxpQkzz,,,,,38.54620361328125,-92.152496337890625,anonymous,EN,4,1,43,2,7,6,9.438,9.438,11.534,1,1,0,0,45.043,0,1,0,0,16.033,0,1,,,,,,5,2,2,2,4,3,5,4,1,6,0,7,6,5,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,,8294576
2019-07-12 14:44:10,2019-07-12 14:47:10,0,96.10.79.250,100,180,1,2019-07-12 14:47:11,R_3EAqYcqYr2jqOYM,,,,,35.717803955078125,-78.84279632568359375,anonymous,EN,4,1,30,2,4,3,7.747,7.747,10.813,1,1,0,0,34.456,0,4,0,0,31.743,0,1,,,,,,2,3,3,3,3,3,3,3,2,5,10,3,4,8,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,,2694089
2019-07-12 14:44:00,2019-07-12 14:47:12,0,170.12.232.240,100,192,1,2019-07-12 14:47:12,R_0wujCSVnop7hALD,,,,,27.8719024658203125,-82.6371002197265625,anonymous,EN,4,1,27,1,7,9,13.556,13.556,14.632,1,1,0,0,41.869,0,1,0,0,20.316,0,1,,,,,,2,2,2,2,2,4,2,2,2,5,7,5,5,6,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,,7387844
2019-07-12 14:43:06,2019-07-12 14:47:18,0,165.134.212.76,100,252,1,2019-07-12 14:47:18,R_2U3mFmNG3biJJFh,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,4,1,22,1,7,8,13.006,13.006,14.381,1,1,9.639,27.443,41.954,2,1,25.453,51.333,51.821,2,1,,,,,,3,2,2,2,3,3,3,3,3,5,10,8,6,7,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,,6143070
2019-07-12 14:44:59,2019-07-12 14:47:18,0,73.84.222.77,100,138,1,2019-07-12 14:47:18,R_xEZJu7JBlDsHSpP,,,,,26.0167999267578125,-80.1537017822265625,anonymous,EN,4,1,19,1,7,10,2.469,2.469,8.424,1,1,0,0,23.514,0,1,0,0,20.624,0,1,,,,,,3,4,3,4,5,2,4,3,4,5,6,8,7,7,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,,8637019
2019-07-12 14:43:42,2019-07-12 14:47:24,0,173.90.101.75,100,221,1,2019-07-12 14:47:24,R_2EbEiMYuzMtAiQo,,,,,41.325103759765625,-80.732696533203125,anonymous,EN,4,1,28,1,10,10,8.469,11.425,11.946,3,1,23.45,31.055,39.825,3,4,,,,,,21.079,21.079,22.005,1,2,5,5,5,5,5,5,5,5,5,5,6,10,8,10,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Nothing to add.,1678445
2019-07-12 14:44:28,2019-07-12 14:47:27,0,24.53.64.226,100,179,1,2019-07-12 14:47:27,R_2vl7CS2p4S7BoTO,,,,,37.2545013427734375,-79.12149810791015625,anonymous,EN,4,1,33,2,2,7,1.971,12.87,13.849,3,1,2.036,18.355,35.139,3,1,,,,,,0,0,16.909,0,2,5,5,5,5,5,5,5,5,5,6,0,10,7,10,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,,5487621
2019-07-12 14:44:21,2019-07-12 14:47:30,0,208.206.3.185,100,188,1,2019-07-12 14:47:30,R_1kFE3X8I1JmNAoR,,,,,42.189697265625,-71.204803466796875,anonymous,EN,4,1,37,1,6,9,6.502,6.502,7.501,1,1,0,0,39.667,0,1,0,0,19.516,0,1,,,,,,2,2,2,2,4,4,4,4,2,5,8,4,4,5,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,,8184263
2019-07-12 14:43:19,2019-07-12 14:47:32,0,71.206.247.166,100,253,1,2019-07-12 14:47:32,R_elc13xZKSvFLH8d,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,4,1,33,2,8,8,9.137,9.137,10.061,1,1,6.666,7.942,47.442,2,1,,,,,,14.071,20.211,28.612,2,2,5,3,3,3,5,5,5,4,3,5,11,9,8,6,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,,4804785
2019-07-12 14:43:55,2019-07-12 14:47:36,0,172.126.187.186,100,221,1,2019-07-12 14:47:36,R_3jeVisbk2rBYj54,,,,,32.7967071533203125,-117.1367034912109375,anonymous,EN,4,1,27,1,2,9,0,0,6.263,0,1,0,0,96.686,0,1,,,,,,0,0,25.631,0,2,5,4,5,5,5,5,5,5,5,5,11,9,8,10,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,,8299479
2019-07-12 14:44:38,2019-07-12 14:47:46,0,68.224.82.126,100,187,1,2019-07-12 14:47:46,R_3fPi1um5pj41WzA,,,,,36.196197509765625,-115.26329803466796875,anonymous,EN,4,1,33,1,8,1,1.561,5.452,6.952,2,1,0,0,33.963,0,1,0,0,17.368,0,1,,,,,,3,1,1,2,1,5,4,4,1,5,10,4,2,9,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,,706773
2019-07-12 14:44:30,2019-07-12 14:47:49,0,67.149.244.41,100,198,1,2019-07-12 14:47:49,R_2YEce5r3Krv7Pe1,,,,,42.2931060791015625,-83.25479888916015625,anonymous,EN,4,1,29,2,7,10,5.845,7.07,8.293,2,1,0,0,30.244,0,4,0,0,22.844,0,1,,,,,,4,4,4,4,4,4,4,4,4,5,8,8,2,8,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,no,6076863
2019-07-12 14:44:46,2019-07-12 14:47:51,0,174.87.250.44,100,185,1,2019-07-12 14:47:52,R_2AXuhYLBY3XBmOH,,,,,39.52679443359375,-119.8112945556640625,anonymous,EN,4,1,27,1,6,8,49.316,49.316,51.668,1,1,0,0,25.609,0,1,0,0,14.606,0,1,,,,,,4,4,4,5,4,5,5,4,4,5,11,9,8,4,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,,5160798
2019-07-12 14:45:15,2019-07-12 14:47:52,0,192.189.247.154,100,157,1,2019-07-12 14:47:52,R_DbNoKiMJDpAzqb7,,,,,41.5821990966796875,-93.68019866943359375,anonymous,EN,4,1,25,1,4,9,8.519,8.519,13.874,1,1,0,0,30.787,0,1,0,0,11.968,0,1,,,,,,3,3,3,3,3,3,3,3,3,5,10,2,5,3,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,this was a really weird one,847718
2019-07-12 14:44:39,2019-07-12 14:47:54,0,32.209.126.236,100,195,1,2019-07-12 14:47:55,R_VI0ALf7uhgbSkV3,,,,,41.30810546875,-72.927398681640625,anonymous,EN,4,1,34,1,1,10,5.94,7.357,11.439,2,1,2.455,20.277,26.585,2,1,,,,,,0,0,14.8,0,2,5,2,3,4,4,5,5,4,2,5,11,7,6,9,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,,4288130
2019-07-12 14:46:17,2019-07-12 14:47:59,0,172.126.50.97,100,101,1,2019-07-12 14:47:59,R_1eQPQAb3ZShlQMB,,,,,32.528594970703125,-92.10610198974609375,anonymous,EN,4,1,31,2,3,6,2.005,2.005,5.953,1,1,12.416,12.416,21.823,1,1,0,0,10.538,0,1,,,,,,2,4,4,4,4,2,5,4,4,6,0,8,8,8,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,,6744617
2019-07-12 14:45:45,2019-07-12 14:47:59,0,99.48.51.14,100,134,1,2019-07-12 14:47:59,R_1OltG1aTPMQ7V8Y,,,,,34.029693603515625,-84.1468963623046875,anonymous,EN,4,1,22,1,6,6,5.744,5.744,6.718,1,1,0,0,24.634,0,1,0,0,16.54,0,1,,,,,,4,3,3,3,3,3,4,3,3,6,0,7,6,5,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,,8405625
2019-07-12 14:43:14,2019-07-12 14:48:01,0,72.68.225.26,100,286,1,2019-07-12 14:48:02,R_1qVWDqdgjBHJ81T,,,,,40.8220062255859375,-73.8600006103515625,anonymous,EN,4,1,29,1,10,9,9.195,12.645,13.984,2,1,19.357,20.139,23.17,2,1,,,,,,14.999,15.885,19.204,2,2,5,3,3,3,5,3,5,5,3,6,0,10,9,8,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,No.,2479210
2019-07-12 14:43:27,2019-07-12 14:48:02,0,75.161.1.255,100,275,1,2019-07-12 14:48:02,R_1mVF8g9ZwKUgv23,,,,,35.187103271484375,-106.66590118408203125,anonymous,EN,4,1,26,2,2,6,24.903,24.903,30.391,1,1,0,0,36.11,0,1,,,,,,0,0,32.547,0,2,5,2,4,4,5,4,5,3,4,5,9,9,6,4,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,,6204243
2019-07-12 14:43:48,2019-07-12 14:48:05,0,216.49.246.101,100,257,1,2019-07-12 14:48:06,R_3KW6yI8bkMtbRCT,,,,,37.271697998046875,-94.48650360107421875,anonymous,EN,4,1,29,1,3,8,25.3,28.6,29.6,2,1,5,5,40.3,1,1,4.2,5.5,29.6,3,1,,,,,,3,3,3,3,3,3,3,3,3,5,11,4,5,5,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Have a nice day!,6013216
2019-07-12 14:44:45,2019-07-12 14:48:08,0,70.90.218.9,100,203,1,2019-07-12 14:48:08,R_2TmJ5ovFtibYKbp,,,,,40.1587982177734375,-79.81220245361328125,anonymous,EN,4,1,47,2,2,8,11.313,11.313,12.832,1,1,0,0,20.537,0,1,,,,,,0,0,11.96,0,2,5,4,3,4,5,5,5,5,4,5,10,9,9,8,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,no,8617373
2019-07-12 14:45:26,2019-07-12 14:48:08,0,104.63.94.49,100,161,1,2019-07-12 14:48:08,R_24eAebXhcutGqBt,,,,,42.615997314453125,-83.9250030517578125,anonymous,EN,4,1,58,1,8,9,6.292,6.292,7.519,1,1,0,0,37.587,0,1,0,0,23.279,0,1,,,,,,4,3,4,3,4,3,5,4,4,6,0,8,7,3,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,,5135164
2019-07-12 14:45:17,2019-07-12 14:48:08,0,74.124.102.18,100,170,1,2019-07-12 14:48:08,R_12mAyexYWY3yvhX,,,,,59.83709716796875,-151.707794189453125,anonymous,EN,4,1,33,1,6,8,16.173,17.282,17.636,2,1,0,0,37.12,0,1,0,0,18.869,0,1,,,,,,4,3,2,3,4,1,3,4,2,6,1,4,6,2,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Thank you for the opportunity!,3342411
2019-07-12 14:44:17,2019-07-12 14:48:11,0,73.178.118.187,100,234,1,2019-07-12 14:48:11,R_1DuNvcxHbutgGU5,,,,,39.9093017578125,-74.15489959716796875,anonymous,EN,4,1,38,1,9,9,3.684,3.684,13.597,1,1,0,0,37.953,0,1,0,0,24.024,0,1,,,,,,4,2,4,4,4,3,4,4,4,5,11,6,10,8,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,NO,6425723
