StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sbj_id,pre_anger,pre_shame,pre_happy,pre_sad,pre_afraid,pre_sb_1,pre_sb_2,pre_sb_3,pre_sb_4,pre_sb_5,pre_sb_6,pre_sb_7,pre_sb_8,pre_sb_9,pre_d_1,pre_d_2,pre_d_3,pre_d_4,Anx_S_1,Anx_S_2,Anx_S_3,Anx_S_4,Anx_S_5,Anx_S_6,Anx_S_7,Anx_S_8,Anx_S_9,Anx_S_10,Anx_S_11,Anx_S_12,Anx_S_13,Anx_S_14,Anx_S_15,Anx_S_16,Anx_S_17,Anx_S_18,Anx_S_19,Anx_S_20
2019-07-22 13:56:00,2019-07-22 14:53:11,0,192.170.202.224,100,3431,1,2019-07-22 14:53:11,R_1odbd0kwUuXTc30,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,017,1,4,5,2,1,4,3,3,4,5,2,3,1,4,3,1,5,5,3,3,3,2,3,2,1,3,1,3,3,3,2,2,3,2,2,2,2,2
2019-07-23 10:40:15,2019-07-23 12:02:27,0,192.170.202.224,100,4931,1,2019-07-23 12:02:27,R_2QsS59FUDKaSijm,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,018,6,4,2,2,1,4,5,1,1,7,1,1,7,1,6,6,7,5,4,4,4,3,4,3,1,3,1,4,3,4,4,2,4,4,3,2,4,3
2019-07-23 12:05:39,2019-07-23 13:37:25,0,192.170.202.224,100,5506,1,2019-07-23 13:37:26,R_20P2GfWyOIbD6Lw,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,019,1,1,3,1,1,3,3,3,2,5,2,5,5,5,4,1,5,5,4,4,3,2,4,1,2,4,1,4,3,2,2,2,4,4,1,1,4,3
2019-07-23 13:37:56,2019-07-23 14:58:03,0,192.170.202.224,100,4806,1,2019-07-23 14:58:03,R_2wotTgxOKFmOPaK,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,020,1,1,5,1,1,1,1,6,1,6,1,1,7,1,5,2,2,1,3,2,1,1,3,1,1,2,1,3,3,1,2,1,3,1,1,1,3,1
2019-07-23 15:02:16,2019-07-23 16:35:19,0,192.170.202.224,100,5582,1,2019-07-23 16:35:20,R_2962rRc8Ga0b4Xy,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,021,2,3,3,3,1,3,2,4,2,5,2,5,5,4,4,2,7,4,3,2,3,3,3,2,2,3,1,3,3,3,1,2,3,3,2,2,3,3
2019-07-24 10:42:31,2019-07-25 10:45:16,0,192.170.202.224,100,86564,1,2019-07-25 10:45:17,R_3HzWV2sssz8uWTr,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,022,1,1,3,1,1,1,4,6,2,5,2,5,3,1,1,1,1,7,4,3,4,2,4,1,1,3,1,4,3,4,4,1,4,3,1,1,4,3
2019-07-25 10:45:18,2019-07-25 11:57:42,0,192.170.202.224,100,4344,1,2019-07-25 11:57:43,R_07C09isFtIvRwKR,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,023,4,1,7,1,1,1,1,3,1,7,2,3,7,3,2,4,7,3,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1
2019-07-25 12:04:47,2019-07-25 13:31:47,0,192.170.202.224,100,5220,1,2019-07-25 13:31:47,R_1hEgo1NMhAD0Beb,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,024,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,4,1,1,4,1,1,4,1,4,3,1,1,1,4,4,1,1,4,4
2019-07-25 13:39:26,2019-07-25 15:11:09,0,192.170.202.224,100,5503,1,2019-07-25 15:11:10,R_snZXdQ7xmRNl8TD,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,025,1,1,7,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-07-25 15:11:33,2019-07-25 16:38:53,0,192.170.202.224,100,5239,1,2019-07-25 16:38:54,R_Q4hf9ka8hLpHgY1,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,026,1,1,7,1,1,1,1,3,1,2,1,1,2,1,2,2,2,3,3,1,2,3,3,1,1,2,1,2,2,2,2,2,3,1,1,1,2,2
2019-07-26 10:37:39,2019-07-26 11:52:16,0,192.170.202.224,100,4477,1,2019-07-26 11:52:16,R_1gHLe8Xim5JSgF5,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,027,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-07-26 12:02:13,2019-07-26 13:46:48,0,192.170.202.224,100,6274,1,2019-07-26 13:46:48,R_DnMG5mO8vPPsrlL,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,028,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
2019-07-26 13:55:28,2019-07-26 15:06:47,0,192.170.202.224,100,4278,1,2019-07-26 15:06:47,R_3hzoRBOnsCG6YuF,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,029,1,1,2,1,1,2,2,1,2,4,1,1,1,1,1,1,1,4,3,3,3,4,2,1,1,3,1,3,3,3,1,1,4,3,1,2,3,3
