StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sbj_id,pre_anger,pre_shame,pre_happy,pre_sad,pre_afraid,pre_sb_1,pre_sb_2,pre_sb_3,pre_sb_4,pre_sb_5,pre_sb_6,pre_sb_7,pre_sb_8,pre_sb_9,pre_d_1,pre_d_2,pre_d_3,pre_d_4,Anx_S_1,Anx_S_2,Anx_S_3,Anx_S_4,Anx_S_5,Anx_S_6,Anx_S_7,Anx_S_8,Anx_S_9,Anx_S_10,Anx_S_11,Anx_S_12,Anx_S_13,Anx_S_14,Anx_S_15,Anx_S_16,Anx_S_17,Anx_S_18,Anx_S_19,Anx_S_20
2019-07-17 12:23:31,2019-07-17 13:51:58,0,192.170.202.224,100,5307,1,2019-07-17 13:51:58,R_3G6yQECm9YH4Ort,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,009,1,1,6,1,1,2,1,4,1,1,1,1,1,1,2,3,1,3,3,3,2,1,2,1,2,2,1,3,2,2,2,1,1,1,2,1,1,1
2019-07-17 13:51:59,2019-07-17 14:41:59,0,192.170.202.224,100,2999,1,2019-07-17 14:41:59,R_2dVYTMPNmZSUNcI,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,010,1,1,4,1,1,4,4,5,2,5,1,1,1,6,1,5,1,4,2,3,2,1,3,1,1,3,1,2,3,2,3,2,3,3,1,1,3,3
2019-07-18 10:47:20,2019-07-18 11:36:57,0,192.170.202.224,100,2977,1,2019-07-18 11:36:58,R_3pcfXYXZ1W21tHf,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,011,1,1,5,4,2,4,3,5,1,1,1,1,1,4,5,5,1,3,2,3,2,1,2,1,1,2,1,2,2,2,1,1,3,3,1,3,1,2
2019-07-18 12:01:04,2019-07-18 13:17:08,0,192.170.202.224,100,4563,1,2019-07-18 13:17:09,R_2pWwDGLA2Jk4Eth,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,012,4,2,5,2,2,3,1,1,3,1,1,1,1,2,2,2,2,3,2,2,3,3,2,3,3,2,3,2,2,1,1,1,2,2,3,3,2,2
2019-07-18 13:50:06,2019-07-18 14:40:16,0,192.170.202.224,100,3009,1,2019-07-18 14:40:16,R_UEjtDnWb3PKvvJT,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,013,1,2,5,4,5,1,1,3,1,1,1,1,1,1,4,6,2,4,2,1,2,1,2,1,1,2,1,3,3,3,2,1,3,2,1,1,1,2
2019-07-18 15:05:57,2019-07-18 16:08:26,0,192.170.202.224,100,3748,1,2019-07-18 16:08:26,R_1rfeBYUop6Vj1ZG,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,014,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2
2019-07-22 11:37:36,2019-07-22 11:39:36,0,192.170.202.224,100,120,1,2019-07-22 11:39:36,R_322PNH5zeQjO1cm,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,015,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,4,4,1,4,4,1,4,1,1,4,4,4,1,1,4,4,1,1
2019-07-22 12:10:32,2019-07-22 13:21:38,0,192.170.202.224,100,4265,1,2019-07-22 13:21:38,R_1JF3RtCYxhuPIIo,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,016,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,3,1,1,2,1,1,2,2,2,1,1,1,2
2019-07-22 13:55:50,2019-07-22 14:34:49,0,192.170.202.224,100,2339,1,2019-07-22 14:34:50,R_1q2v4OmM1lSQlLt,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,017,1,1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,3,1,2,2,1,1,2,1
2019-07-23 10:40:13,2019-07-23 11:39:59,0,192.170.202.224,100,3585,1,2019-07-23 11:39:59,R_2PnCFENCbM0ZLRr,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,018,3,5,2,4,1,2,5,2,2,2,1,1,1,1,5,5,6,6,1,3,2,1,2,1,2,4,1,3,3,1,4,4,3,2,1,1,2,3
2019-07-23 12:05:34,2019-07-23 13:37:46,0,192.170.202.224,100,5531,1,2019-07-23 13:37:46,R_3OdnpOFvxLWdmiJ,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,019,1,1,4,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,3,3,2,1,3,1,1,3,1,3,2,1,2,2,3,3,1,1,3,3
2019-07-23 13:37:47,2019-07-23 14:34:03,0,192.170.202.224,100,3375,1,2019-07-23 14:34:03,R_3L6BKPhdgk6dkUg,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,020,1,3,5,5,2,3,5,2,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,1,1,3,1,2,2,1,2,1,2,3,1,1,3,2
2019-07-23 15:02:15,2019-07-23 16:12:29,0,192.170.202.224,100,4214,1,2019-07-23 16:12:30,R_32IUv1tKQmwJFJQ,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,021,2,1,4,2,2,1,2,2,2,1,1,1,1,3,2,1,1,5,2,2,2,2,2,2,2,3,1,2,2,2,1,2,2,2,2,2,3,3
2019-07-24 10:42:30,2019-07-24 14:40:33,0,192.170.202.224,100,14283,1,2019-07-24 14:40:33,R_CalTbHUXSRcadup,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,022,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,1,2,1,1,2,1,2,3,1,1,1,2,2,1,2,3,2
2019-07-25 10:45:09,2019-07-25 11:35:26,0,192.170.202.224,100,3017,1,2019-07-25 11:35:27,R_3NDSZT9JuzZFgfN,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,023,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1
2019-07-25 12:04:41,2019-07-25 13:11:16,0,192.170.202.224,100,3995,1,2019-07-25 13:11:17,R_XAnqGyOTgxvwuaJ,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,1,1,3,1,2,3,2,2,1,2,3,1,1,2,3
2019-07-25 13:39:19,2019-07-25 14:47:23,0,192.170.202.224,100,4084,1,2019-07-25 14:47:24,R_3Jx894fRRA7eXnG,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,025,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-07-25 15:11:27,2019-07-25 16:28:17,0,192.170.202.224,100,4610,1,2019-07-25 16:28:18,R_3es5ocBJCTnLxJk,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,026,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1,1,1,1,3,2,2,1,1,1,2,1
2019-07-26 10:37:33,2019-07-26 11:33:41,0,192.170.202.224,100,3368,1,2019-07-26 11:33:42,R_1ruAj6E7cOy3UIx,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,027,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-07-26 12:02:08,2019-07-26 13:23:18,0,192.170.202.224,100,4870,1,2019-07-26 13:23:19,R_2RPwYldqVZ2DXAv,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,028,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1
2019-07-26 13:55:27,2019-07-30 10:43:24,0,192.170.202.224,100,334077,1,2019-07-30 10:43:24,R_12zssvo5vtiJQbe,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,029,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,1,1,3,1,2,3,1,1,1,2,2,1,2,4,2
